,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"M[60,19]",0.01,0.315,-0.486,0.515,0.004,0.003,6332.0,6340.0,1.0
"M[60,20]",0.082,0.312,-0.391,0.571,0.004,0.003,6604.0,6179.0,1.0
"M[60,21]",0.018,0.284,-0.42,0.481,0.004,0.003,6110.0,5959.0,1.0
"M[60,22]",-0.09,0.29,-0.573,0.341,0.004,0.003,5623.0,6301.0,1.0
"M[60,23]",-0.274,0.322,-0.728,0.273,0.004,0.003,5592.0,5429.0,1.0
"M[60,24]",-0.021,0.314,-0.524,0.48,0.004,0.003,5478.0,5631.0,1.0
"M[60,25]",-0.037,0.287,-0.508,0.413,0.004,0.003,5438.0,6103.0,1.0
"M[60,26]",0.301,0.32,-0.202,0.817,0.004,0.003,5796.0,5776.0,1.0
"M[60,27]",-0.027,0.262,-0.434,0.398,0.004,0.003,5450.0,6072.0,1.0
"M[60,28]",0.173,0.274,-0.25,0.627,0.004,0.003,5774.0,5850.0,1.0
"M[60,29]",-0.19,0.346,-0.706,0.411,0.004,0.004,6019.0,5817.0,1.0
"M[60,30]",-0.077,0.312,-0.554,0.428,0.004,0.003,5700.0,6112.0,1.0
"M[60,31]",-0.138,0.307,-0.626,0.352,0.004,0.003,5180.0,6377.0,1.0
"M[60,32]",-0.032,0.372,-0.615,0.571,0.005,0.004,6405.0,6225.0,1.0
"M[60,33]",0.416,0.383,-0.184,1.03,0.005,0.004,6316.0,6188.0,1.0
"M[60,34]",-0.035,0.294,-0.518,0.408,0.004,0.003,5947.0,6064.0,1.0
"M[60,35]",-0.071,0.261,-0.496,0.341,0.003,0.002,5887.0,5996.0,1.0
"M[60,36]",-0.102,0.261,-0.498,0.329,0.003,0.002,5913.0,5938.0,1.0
"M[60,37]",-0.057,0.3,-0.549,0.401,0.004,0.003,5438.0,5446.0,1.0
"M[60,38]",0.172,0.29,-0.258,0.666,0.004,0.003,5993.0,6331.0,1.0
"M[60,39]",-0.307,0.304,-0.781,0.179,0.004,0.003,6087.0,6240.0,1.0
"M[60,40]",-0.153,0.344,-0.697,0.401,0.004,0.003,6019.0,5791.0,1.0
"M[60,41]",0.042,0.293,-0.442,0.486,0.004,0.003,6162.0,6423.0,1.0
"M[60,42]",-0.085,0.296,-0.577,0.347,0.004,0.003,5274.0,6000.0,1.0
"M[60,43]",0.082,0.288,-0.403,0.517,0.004,0.003,5728.0,6610.0,1.0
"M[61,0]",0.054,0.262,-0.348,0.483,0.003,0.002,5856.0,6721.0,1.0
"M[61,1]",-0.073,0.269,-0.481,0.371,0.004,0.002,5814.0,6461.0,1.0
"M[61,2]",0.091,0.323,-0.4,0.588,0.004,0.003,6068.0,5528.0,1.0
"M[61,3]",-0.237,0.32,-0.75,0.247,0.004,0.003,6310.0,6368.0,1.0
"M[61,4]",0.122,0.315,-0.365,0.635,0.004,0.003,6306.0,6148.0,1.0
"M[61,5]",-0.196,0.307,-0.669,0.309,0.004,0.003,5308.0,6261.0,1.0
"M[61,6]",-0.18,0.28,-0.615,0.28,0.004,0.003,6211.0,6261.0,1.0
"M[61,7]",0.082,0.304,-0.388,0.554,0.004,0.003,5814.0,6306.0,1.0
"M[61,8]",-0.055,0.29,-0.49,0.43,0.004,0.003,6330.0,6649.0,1.0
"M[61,9]",0.121,0.282,-0.324,0.572,0.003,0.003,6908.0,6220.0,1.0
"M[61,10]",0.319,0.31,-0.175,0.801,0.004,0.003,6110.0,5926.0,1.0
"M[61,11]",0.007,0.296,-0.461,0.466,0.004,0.003,6260.0,6413.0,1.0
"M[61,12]",-0.017,0.307,-0.521,0.466,0.004,0.003,6256.0,6268.0,1.0
"M[61,13]",-0.176,0.283,-0.604,0.266,0.004,0.003,5283.0,6427.0,1.0
"M[61,14]",-0.028,0.275,-0.469,0.408,0.004,0.003,5450.0,5798.0,1.0
"M[61,15]",0.242,0.329,-0.271,0.765,0.004,0.003,6627.0,6615.0,1.0
"M[61,16]",-0.072,0.301,-0.565,0.386,0.004,0.003,6518.0,6137.0,1.0
"M[61,17]",0.212,0.286,-0.233,0.665,0.004,0.003,6287.0,6355.0,1.0
"M[61,18]",0.023,0.27,-0.404,0.44,0.003,0.003,5956.0,5591.0,1.0
"M[61,19]",-0.02,0.312,-0.513,0.483,0.004,0.003,6444.0,6009.0,1.0
"M[61,20]",0.076,0.32,-0.392,0.604,0.004,0.003,6395.0,5720.0,1.0
"M[61,21]",0.065,0.28,-0.368,0.519,0.004,0.003,6134.0,6577.0,1.0
"M[61,22]",-0.128,0.292,-0.559,0.384,0.004,0.003,5592.0,5969.0,1.0
"M[61,23]",-0.247,0.313,-0.737,0.248,0.004,0.003,6119.0,6143.0,1.0
"M[61,24]",0.028,0.314,-0.48,0.499,0.004,0.003,5094.0,6132.0,1.0
"M[61,25]",-0.054,0.291,-0.524,0.397,0.004,0.003,5799.0,6144.0,1.0
"M[61,26]",0.287,0.319,-0.219,0.792,0.004,0.003,5617.0,5855.0,1.0
"M[61,27]",0.01,0.241,-0.389,0.382,0.003,0.002,5084.0,6163.0,1.0
"M[61,28]",0.177,0.261,-0.226,0.597,0.003,0.003,5667.0,5922.0,1.0
"M[61,29]",-0.238,0.331,-0.771,0.272,0.004,0.003,5623.0,5415.0,1.0
"M[61,30]",-0.023,0.294,-0.476,0.447,0.004,0.003,6296.0,6163.0,1.0
"M[61,31]",-0.176,0.289,-0.647,0.275,0.004,0.003,5923.0,6355.0,1.0
"M[61,32]",-0.129,0.351,-0.679,0.442,0.004,0.004,6658.0,5973.0,1.0
"M[61,33]",0.289,0.347,-0.279,0.833,0.004,0.003,6259.0,5778.0,1.0
"M[61,34]",-0.021,0.277,-0.442,0.436,0.003,0.002,6347.0,6427.0,1.0
"M[61,35]",-0.071,0.247,-0.468,0.319,0.003,0.002,5720.0,5940.0,1.0
"M[61,36]",-0.117,0.248,-0.49,0.296,0.003,0.002,6034.0,6128.0,1.0
"M[61,37]",-0.039,0.297,-0.499,0.428,0.004,0.003,5087.0,4932.0,1.0
"M[61,38]",0.161,0.282,-0.293,0.585,0.004,0.003,5410.0,5636.0,1.0
"M[61,39]",-0.294,0.286,-0.722,0.184,0.004,0.003,5429.0,5894.0,1.0
"M[61,40]",-0.069,0.323,-0.553,0.46,0.004,0.003,6354.0,6457.0,1.0
"M[61,41]",0.003,0.29,-0.456,0.445,0.004,0.003,5888.0,5869.0,1.0
"M[61,42]",-0.028,0.273,-0.437,0.422,0.003,0.003,6321.0,6061.0,1.0
"M[61,43]",0.016,0.265,-0.41,0.419,0.003,0.003,5820.0,6159.0,1.0
"M[62,0]",0.013,0.26,-0.415,0.413,0.003,0.002,6178.0,6534.0,1.0
"M[62,1]",-0.068,0.261,-0.492,0.325,0.003,0.003,6173.0,6243.0,1.0
"M[62,2]",0.156,0.294,-0.313,0.608,0.004,0.003,6900.0,6759.0,1.0
"M[62,3]",-0.24,0.297,-0.747,0.219,0.004,0.003,6589.0,6370.0,1.0
"M[62,4]",0.047,0.308,-0.47,0.521,0.004,0.003,6963.0,6489.0,1.0
"M[62,5]",-0.136,0.289,-0.58,0.34,0.004,0.003,6038.0,6443.0,1.0
"M[62,6]",-0.187,0.267,-0.595,0.255,0.003,0.002,6282.0,6968.0,1.0
"M[62,7]",-0.009,0.286,-0.442,0.471,0.003,0.003,6522.0,6294.0,1.0
"M[62,8]",-0.03,0.285,-0.496,0.398,0.004,0.003,6202.0,6226.0,1.0
"M[62,9]",0.099,0.276,-0.322,0.542,0.004,0.003,5927.0,6166.0,1.0
"M[62,10]",0.228,0.299,-0.251,0.689,0.004,0.003,5883.0,6322.0,1.0
"M[62,11]",-0.048,0.28,-0.503,0.386,0.004,0.003,6192.0,6136.0,1.0
"M[62,12]",0.026,0.302,-0.47,0.482,0.004,0.003,6269.0,6773.0,1.0
"M[62,13]",-0.144,0.277,-0.597,0.285,0.004,0.003,5585.0,6057.0,1.0
"M[62,14]",-0.005,0.279,-0.427,0.448,0.004,0.003,6021.0,6494.0,1.0
"M[62,15]",0.314,0.325,-0.199,0.821,0.004,0.003,6117.0,6095.0,1.0
"M[62,16]",-0.051,0.289,-0.516,0.4,0.004,0.003,6072.0,6266.0,1.0
"M[62,17]",0.239,0.282,-0.185,0.714,0.004,0.003,6036.0,5652.0,1.0
"M[62,18]",0.042,0.264,-0.364,0.475,0.004,0.002,5612.0,5966.0,1.0
"M[62,19]",-0.039,0.309,-0.516,0.469,0.004,0.003,6712.0,6515.0,1.0
"M[62,20]",0.181,0.318,-0.332,0.672,0.004,0.003,6134.0,6147.0,1.0
"M[62,21]",0.09,0.286,-0.36,0.534,0.004,0.003,6139.0,6065.0,1.0
"M[62,22]",-0.102,0.297,-0.592,0.343,0.004,0.003,6284.0,6468.0,1.0
"M[62,23]",-0.168,0.309,-0.679,0.304,0.004,0.003,6342.0,6506.0,1.0
"M[62,24]",-0.064,0.31,-0.534,0.426,0.004,0.003,5749.0,5804.0,1.0
"M[62,25]",-0.016,0.282,-0.447,0.455,0.004,0.003,5689.0,6151.0,1.0
"M[62,26]",0.265,0.32,-0.255,0.759,0.004,0.003,5845.0,5885.0,1.0
"M[62,27]",0.024,0.259,-0.385,0.419,0.003,0.003,5609.0,6251.0,1.0
"M[62,28]",0.166,0.263,-0.259,0.582,0.004,0.003,4966.0,6254.0,1.0
"M[62,29]",-0.257,0.332,-0.767,0.289,0.004,0.003,6856.0,6324.0,1.0
"M[62,30]",-0.027,0.301,-0.483,0.477,0.004,0.003,6149.0,6388.0,1.0
"M[62,31]",-0.192,0.3,-0.663,0.279,0.004,0.003,6073.0,6156.0,1.0
"M[62,32]",-0.115,0.357,-0.707,0.429,0.004,0.004,7230.0,6203.0,1.0
"M[62,33]",0.288,0.353,-0.278,0.841,0.004,0.003,7387.0,6298.0,1.0
"M[62,34]",-0.041,0.286,-0.503,0.41,0.003,0.003,6569.0,6478.0,1.0
"M[62,35]",-0.067,0.254,-0.501,0.307,0.003,0.002,5611.0,6381.0,1.0
"M[62,36]",-0.112,0.257,-0.505,0.306,0.003,0.002,5483.0,5915.0,1.0
"M[62,37]",-0.085,0.287,-0.538,0.376,0.004,0.003,5571.0,6905.0,1.0
"M[62,38]",0.1,0.28,-0.341,0.539,0.004,0.003,5979.0,6646.0,1.0
"M[62,39]",-0.232,0.29,-0.681,0.238,0.004,0.003,6728.0,6152.0,1.0
"M[62,40]",-0.027,0.335,-0.556,0.496,0.004,0.003,6719.0,6143.0,1.0
"M[62,41]",0.017,0.284,-0.413,0.493,0.004,0.003,6221.0,6095.0,1.0
"M[62,42]",-0.008,0.274,-0.441,0.43,0.003,0.002,6171.0,6649.0,1.0
"M[62,43]",0.011,0.271,-0.419,0.448,0.004,0.003,5850.0,6088.0,1.0
"M[63,0]",0.004,0.269,-0.381,0.469,0.004,0.003,5358.0,6251.0,1.0
"M[63,1]",-0.129,0.276,-0.576,0.305,0.004,0.003,5114.0,6260.0,1.0
"M[63,2]",0.153,0.323,-0.357,0.668,0.004,0.003,5204.0,5697.0,1.0
"M[63,3]",-0.275,0.319,-0.774,0.247,0.004,0.003,6182.0,6583.0,1.0
"M[63,4]",0.054,0.329,-0.475,0.562,0.004,0.004,6491.0,5852.0,1.0
"M[63,5]",-0.122,0.312,-0.614,0.378,0.004,0.003,5816.0,5761.0,1.0
"M[63,6]",-0.209,0.288,-0.649,0.261,0.004,0.003,5608.0,5971.0,1.0
"M[63,7]",-0.043,0.309,-0.513,0.458,0.004,0.003,5962.0,6273.0,1.0
"M[63,8]",-0.091,0.292,-0.573,0.363,0.004,0.003,5566.0,6333.0,1.0
"M[63,9]",0.101,0.284,-0.349,0.556,0.004,0.003,6439.0,6841.0,1.0
"M[63,10]",0.185,0.321,-0.306,0.711,0.004,0.003,6235.0,5879.0,1.0
"M[63,11]",-0.089,0.29,-0.538,0.379,0.004,0.003,5519.0,6204.0,1.0
"M[63,12]",0.057,0.307,-0.424,0.544,0.004,0.003,5886.0,6812.0,1.0
"M[63,13]",-0.065,0.29,-0.507,0.395,0.004,0.003,5008.0,5368.0,1.0
"M[63,14]",0.023,0.284,-0.397,0.5,0.004,0.003,5567.0,5585.0,1.0
"M[63,15]",0.367,0.338,-0.169,0.884,0.005,0.003,5395.0,5698.0,1.0
"M[63,16]",-0.04,0.299,-0.524,0.433,0.004,0.003,5931.0,6238.0,1.0
"M[63,17]",0.241,0.292,-0.221,0.703,0.004,0.003,6135.0,5914.0,1.0
"M[63,18]",0.039,0.272,-0.418,0.448,0.004,0.003,5540.0,5887.0,1.0
"M[63,19]",-0.039,0.318,-0.538,0.461,0.004,0.003,5118.0,6464.0,1.0
"M[63,20]",0.201,0.321,-0.267,0.734,0.004,0.003,5937.0,6104.0,1.0
"M[63,21]",0.037,0.276,-0.413,0.465,0.004,0.003,5829.0,6376.0,1.0
"M[63,22]",-0.074,0.292,-0.531,0.397,0.004,0.003,6199.0,6194.0,1.0
"M[63,23]",-0.165,0.309,-0.635,0.339,0.004,0.003,5380.0,5811.0,1.0
"M[63,24]",-0.075,0.306,-0.571,0.403,0.004,0.003,5696.0,6422.0,1.0
"M[63,25]",0.03,0.291,-0.434,0.49,0.004,0.003,5835.0,6128.0,1.0
"M[63,26]",0.208,0.312,-0.307,0.678,0.004,0.003,6187.0,6185.0,1.0
"M[63,27]",-0.042,0.256,-0.449,0.361,0.004,0.003,4687.0,6138.0,1.0
"M[63,28]",0.162,0.265,-0.261,0.577,0.004,0.003,5323.0,5795.0,1.0
"M[63,29]",-0.212,0.334,-0.73,0.344,0.004,0.003,5733.0,5966.0,1.0
"M[63,30]",-0.061,0.305,-0.554,0.396,0.004,0.003,6256.0,6158.0,1.0
"M[63,31]",-0.149,0.294,-0.606,0.31,0.004,0.003,6308.0,6650.0,1.0
"M[63,32]",-0.114,0.356,-0.662,0.47,0.005,0.004,5868.0,6546.0,1.0
"M[63,33]",0.391,0.358,-0.198,0.935,0.005,0.003,5716.0,6007.0,1.0
"M[63,34]",-0.04,0.278,-0.494,0.387,0.004,0.003,6096.0,6690.0,1.0
"M[63,35]",-0.072,0.252,-0.47,0.329,0.003,0.002,5635.0,5611.0,1.0
"M[63,36]",-0.1,0.255,-0.518,0.303,0.003,0.002,5855.0,6274.0,1.0
"M[63,37]",-0.099,0.286,-0.543,0.381,0.004,0.003,5234.0,5731.0,1.0
"M[63,38]",0.138,0.281,-0.317,0.584,0.004,0.003,5795.0,6230.0,1.0
"M[63,39]",-0.235,0.285,-0.685,0.22,0.004,0.003,6077.0,6254.0,1.0
"M[63,40]",-0.11,0.322,-0.653,0.385,0.004,0.003,6781.0,6169.0,1.0
"M[63,41]",0.029,0.285,-0.443,0.473,0.004,0.003,5629.0,6054.0,1.0
"M[63,42]",-0.086,0.285,-0.522,0.37,0.004,0.003,6055.0,6486.0,1.0
"M[63,43]",0.034,0.269,-0.398,0.451,0.003,0.002,6220.0,6252.0,1.0
"M[64,0]",0.022,0.263,-0.421,0.417,0.004,0.003,5209.0,5924.0,1.0
"M[64,1]",-0.078,0.261,-0.48,0.354,0.003,0.002,5582.0,6223.0,1.0
"M[64,2]",0.126,0.306,-0.349,0.622,0.004,0.003,6609.0,6379.0,1.0
"M[64,3]",-0.262,0.313,-0.738,0.245,0.004,0.003,6570.0,6305.0,1.0
"M[64,4]",0.058,0.318,-0.446,0.564,0.004,0.003,6562.0,6240.0,1.0
"M[64,5]",-0.123,0.302,-0.637,0.323,0.004,0.003,5912.0,6642.0,1.0
"M[64,6]",-0.191,0.277,-0.627,0.249,0.003,0.002,6722.0,6887.0,1.0
"M[64,7]",0.034,0.299,-0.44,0.498,0.004,0.003,5661.0,6119.0,1.0
"M[64,8]",-0.045,0.291,-0.485,0.427,0.004,0.003,6208.0,6371.0,1.0
